title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
"Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War","Abbott, Karen",,,,,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Bay District Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Flagler Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
Clap When You Land,"Acevedo, Elizabeth",,,,,Utah,Nebo School District,AY 2022-2023,Banned from Libraries,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
The Poet X,"Acevedo, Elizabeth",,,,,South Carolina,Beaufort County School District,October 2022,Banned from Libraries,Informal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Texas,Keller Independent School District,January 2023,Banned from Classrooms,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Texas,Lake Travis Independent School District,March 2023,Banned from Libraries,Informal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Utah,Davis School District,January 2023,Banned from Libraries,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Florida,Clay County School District,September 2022,Banned from Libraries,Formal Challenge
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
